dataset,record,fs,duration_s,n_beats,has_beats,has_danger,first_danger_sample,first_danger_s,n_danger_beats,n_baseline_beats_strict,n_baseline_beats_relaxed,baseline_seconds_strict,baseline_seconds_relaxed,danger_span_seconds,n_danger_spans
mit_bih_arrhythmia,234,360.0,1805.555555555556,2761,True,True,304425,845.625,50,1297,1297,845.4805555555556,845.4805555555556,25.96388888888889,1
mit_bih_arrhythmia,213,360.0,1805.555555555556,3251,True,True,322260,895.1666666666666,7,1260,1633,856.0694444444445,895.1166666666667,3.941666666666667,2
mit_bih_arrhythmia,222,360.0,1805.555555555556,2498,True,True,257703,715.8416666666667,16,758,893,634.4111111111112,715.7944444444445,8.152777777777779,4
mit_bih_arrhythmia,223,360.0,1805.555555555556,2615,True,True,208178,578.2722222222222,183,725,801,561.3055555555555,578.0055555555556,105.85555555555555,7
mit_bih_arrhythmia,209,360.0,1805.555555555556,3024,True,True,151724,421.4555555555556,261,677,705,421.22222222222223,421.22222222222223,102.33888888888887,10
mit_bih_arrhythmia,114,360.0,1805.555555555556,1886,True,True,251900,699.7222222222222,7,622,660,699.6638888888889,699.6638888888889,4.863888888888889,1
mit_bih_arrhythmia,201,360.0,1805.555555555556,1967,True,True,570586,1584.9611111111112,3,491,1644,756.6611111111112,1584.7944444444445,1.6666666666666667,1
mit_bih_arrhythmia,220,360.0,1805.555555555556,2052,True,True,146963,408.2305555555556,28,476,481,408.2305555555556,408.2305555555556,15.752777777777778,8
mit_bih_arrhythmia,205,360.0,1805.555555555556,2658,True,True,107561,298.7805555555556,49,448,451,298.7388888888889,298.7388888888889,22.875,6
mit_bih_arrhythmia,215,360.0,1805.555555555556,3393,True,True,64513,179.20277777777778,6,315,338,179.0888888888889,179.0888888888889,2.2694444444444444,2
mit_bih_arrhythmia,106,360.0,1805.555555555556,2057,True,True,63624,176.73333333333332,3,150,207,171.5361111111111,176.09722222222223,2.013888888888889,1
mit_bih_arrhythmia,200,360.0,1805.555555555556,2644,True,True,39210,108.91666666666669,23,63,154,55.27222222222223,108.73055555555555,15.241666666666667,7
mit_bih_arrhythmia,233,360.0,1805.555555555556,3079,True,True,9923,27.56388888888889,18,34,47,27.55555555555556,27.55555555555556,10.869444444444444,6
